Release_Date,Title,Popularity,Vote_Count,Vote_Average,Original_Language,Genre
22-04-2020,The Willoughbys,24.17,737.00,7.20,en,"Animation, Comedy, Family"
15-11-1989,Steel Magnolias,24.17,501.00,7.20,en,"Comedy, Drama"
17-10-2010,Milf,24.16,62.00,4.30,en,Comedy
03-09-2014,Before I Go to Sleep,24.16,1652.00,6.50,en,"Mystery, Thriller"
19-10-2012,The First Time,24.16,1902.00,7.00,en,"Drama, Comedy, Romance"
08-08-2000,Buzz Lightyear of Star Command: The Adventure Begins,24.16,252.00,6.40,en,"Animation, Family, Comedy, Science Fiction, Adventure"
24-03-1999,"Girl, Interrupted",24.15,2872.00,7.60,en,Drama
07-05-2010,Room in Rome,24.15,474.00,6.40,es,"Drama, Romance"
23-04-2021,The Space Between,24.15,9.00,5.40,en,"Drama, Comedy"
29-09-2007,Sword of the Stranger,24.14,280.00,7.60,ja,"Action, Animation, History"
20-09-2010,Pokémon Apokélypse,24.14,5.00,5.20,en,"Crime, Action, Drama"
17-11-2001,Justice League: Secret Origins,24.14,92.00,7.70,en,"Action, Adventure, Animation, Science Fiction"
31-12-2013,Enemy,24.14,4692.00,6.90,en,"Thriller, Mystery"
07-05-2004,Mindhunters,24.12,897.00,6.50,en,"Mystery, Thriller, Crime"
17-07-2017,#realityhigh,24.12,943.00,6.40,en,Comedy
20-06-1963,The Great Escape,24.12,1948.00,8.00,en,"Adventure, Drama, History, Thriller, War"
11-10-2014,Escobar: Paradise Lost,24.12,658.00,6.30,en,"Thriller, Romance"
15-12-2001,Inuyasha the Movie: Affections Touching Across Time,24.12,137.00,7.60,ja,"Action, Animation, Adventure, Fantasy"
02-08-2019,Dragon Quest: Your Story,24.11,148.00,6.80,ja,"Animation, Adventure, Comedy, Fantasy, Action, Family"
11-02-1983,Urusei Yatsura: Only You,24.11,20.00,6.40,ja,"Animation, Romance, Science Fiction, Comedy"
27-10-2000,Book of Shadows: Blair Witch 2,24.11,600.00,4.20,en,"Mystery, Thriller, Horror"
13-02-1987,Over the Top,24.10,1261.00,6.30,en,"Action, Drama"
13-12-2019,Bombshell,24.08,2328.00,6.80,en,"Drama, History"
25-12-2019,Dino King: Journey to Fire Mountain,24.07,92.00,7.90,ko,"Animation, Adventure"
21-02-2013,Snitch,24.07,1998.00,6.00,en,"Thriller, Drama, Action"
12-02-1999,Gorgeous,24.06,257.00,6.20,cn,"Adventure, Action, Comedy, Romance"
10-12-2021,American Refugee,24.05,16.00,6.70,en,"Horror, Thriller"
14-02-2010,Starstruck,24.05,1014.00,7.00,en,"Romance, Comedy, TV Movie, Music"
08-06-2001,Evolution,24.05,1744.00,6.00,en,"Comedy, Science Fiction, Action"
28-05-1958,Vertigo,24.05,4478.00,8.20,en,"Mystery, Romance, Thriller"
01-06-2012,Titanic: 100 Years On,24.04,18.00,6.90,en,Documentary
02-02-1968,The Diamond Arm,24.04,200.00,7.90,ru,"Adventure, Comedy, Crime"
05-03-1998,The Thin Red Line,24.03,2319.00,7.40,en,"Drama, History, War"
15-09-2016,Snowden,24.03,3660.00,7.10,en,"Drama, History, Crime, Thriller"
04-03-2017,Security,24.03,607.00,6.10,en,"Action, Thriller, Crime"
07-02-2017,Moontrap: Target Earth,24.03,50.00,4.60,en,"Action, Science Fiction, Adventure"
03-05-2019,The Intruder,24.03,413.00,6.10,en,Thriller
30-08-1972,The Last House on the Left,24.02,464.00,5.90,en,"Horror, Thriller"
02-12-2016,Siren,24.02,199.00,6.00,en,Horror
25-12-2014,Unbroken,24.01,3475.00,7.50,en,"Drama, War"
25-12-2007,The Water Horse,24.01,835.00,6.40,en,"Family, Adventure, Fantasy"
12-01-2010,Plan B,24.01,79.00,7.20,es,"Comedy, Drama, Romance"
08-11-1951,Quo Vadis,24.01,284.00,7.10,en,"Drama, History, Romance"
27-03-1985,Ladyhawke,24.01,884.00,7.00,en,"Adventure, Comedy, Drama, Fantasy"
12-09-2013,Machete Kills,24.00,1553.00,5.60,en,"Action, Crime, Thriller"
10-05-2018,Life of the Party,24.00,846.00,6.20,en,Comedy
23-07-1999,The Haunting,24.00,1062.00,5.40,en,"Horror, Thriller, Fantasy, Mystery"
16-02-2022,ASSEMBLED: The Making of Eternals,24.00,8.00,6.40,en,Documentary
17-10-2013,Tarzan,23.99,497.00,5.70,en,"Animation, Action, Adventure, Family"
25-12-2020,News of the World,23.99,1295.00,7.00,en,"Drama, Western, Adventure"
23-09-2005,The Madagascar Penguins in a Christmas Caper,23.99,224.00,6.70,en,"Animation, Comedy, Family"
24-06-1987,Spaceballs,23.99,2313.00,6.80,en,"Comedy, Science Fiction"
13-07-2017,Tulip Fever,23.99,553.00,6.50,en,"Drama, Romance"
04-04-2001,Blow,23.99,3582.00,7.40,en,"Crime, Drama"
13-02-2019,Happy Death Day 2U,23.98,2702.00,6.30,en,"Comedy, Horror, Science Fiction"
26-11-1942,Casablanca,23.98,4138.00,8.20,en,"Drama, Romance"
09-03-1978,The Deer Hunter,23.97,2868.00,8.00,en,"Drama, War"
08-06-2009,A Perfect Getaway,23.97,975.00,6.30,en,"Thriller, Mystery, Adventure"
21-04-2016,Flight Crew,23.96,198.00,6.90,ru,"Drama, Action"
05-09-2011,A Cinderella Story: Once Upon a Song,23.96,915.00,6.40,en,"Comedy, Family, Romance"
13-08-2009,The Secret in Their Eyes,23.95,1964.00,8.00,es,"Crime, Drama, Mystery"
07-09-2012,Dredd,23.94,4049.00,6.80,en,"Action, Science Fiction"
26-12-2007,There Will Be Blood,23.94,5009.00,8.10,en,Drama
26-08-2016,The Lion Woman,23.94,109.00,6.90,no,Drama
22-10-2009,Uncharted: Eye of Indra,23.92,2.00,4.50,en,"Adventure,Action"
07-06-2001,Swordfish,23.92,2156.00,6.20,en,"Action, Crime, Thriller"
29-06-2001,A.I. Artificial Intelligence,23.91,5078.00,7.00,en,"Drama, Science Fiction, Adventure"
03-12-1990,The Ages of Lulu,23.91,172.00,6.40,es,Drama
20-10-2000,Pay It Forward,23.91,1409.00,7.30,en,Drama
20-02-2009,Walled In,23.90,153.00,4.90,en,"Horror, Thriller"
01-10-2019,Jarhead: Law of Return,23.90,2397.00,6.50,en,War
29-08-2002,Frida,23.89,1700.00,7.50,en,"Drama, Romance"
24-01-2019,Sheep & Wolves: Pig Deal,23.88,59.00,6.90,ru,"Animation, Adventure, Comedy, Family"
01-09-1954,Rear Window,23.87,5001.00,8.40,en,"Thriller, Mystery"
15-03-2019,Mr. Osomatsu the Movie,23.87,7.00,7.60,ja,"Comedy, Animation"
15-10-2020,Dragon Rider,23.86,114.00,7.30,en,"Animation, Family, Adventure, Fantasy"
12-02-1999,Blast from the Past,23.86,792.00,6.70,en,"Science Fiction, Drama, Romance, Comedy"
08-12-2017,"I, Tonya",23.86,4743.00,7.50,en,Drama
07-03-1998,Doraemon: Nobita's Great Adventure in the South Seas,23.84,18.00,6.70,ja,Animation
13-10-2010,RED,23.84,5621.00,6.70,en,"Action, Adventure, Comedy, Crime, Thriller"
10-09-2016,Your Lie in April,23.83,39.00,7.00,ja,"Drama, Music, Romance"
30-01-2021,Prime Time,23.83,67.00,5.00,pl,"Drama, Thriller"
29-04-2021,Farm to Fork to Love,23.83,27.00,6.00,en,"Romance, TV Movie"
09-02-1986,Nine 1/2 Weeks,23.82,719.00,6.10,en,"Drama, Romance"
15-09-2020,Wish Upon a Unicorn,23.80,37.00,7.20,en,"Adventure, Family, Fantasy"
05-10-2012,Birthday Sex,23.80,14.00,6.50,en,"Drama, Romance"
17-11-1995,It Takes Two,23.80,724.00,6.40,en,"Comedy, Family, Romance"
17-02-1979,Fearless Hyena,23.80,109.00,6.70,cn,"Comedy, Action"
03-04-1998,Lost in Space,23.79,963.00,5.30,en,"Science Fiction, Adventure"
29-12-2017,Day of the Dead: Bloodline,23.78,477.00,4.60,en,"Action, Horror"
02-02-2005,Unleashed,23.78,1561.00,6.90,en,"Action, Crime"
07-11-2018,Kursk,23.78,427.00,6.70,en,"Drama, History, Thriller, Action"
11-10-1961,King of Kings,23.78,134.00,7.00,en,"Drama, History"
10-12-2020,Silver Skates,23.77,134.00,7.80,ru,"Romance, Adventure, Drama, Family, History"
16-12-1978,Every Which Way but Loose,23.77,339.00,6.20,en,"Action, Comedy, Adventure, Romance, Drama"
27-06-2019,Yesterday,23.77,3065.00,6.70,en,"Music, Comedy, Romance, Fantasy"
15-03-2019,Captive State,23.76,898.00,5.60,en,Science Fiction
01-03-2011,S.W.A.T.: Firefight,23.76,233.00,5.70,en,"Action, Crime, Thriller"
10-10-2013,Delivery Man,23.76,1204.00,6.20,en,Comedy
12-08-2014,Good People,23.75,382.00,5.50,en,"Thriller, Crime, Action"
13-12-2010,Minions: Home Makeover,23.75,128.00,6.80,en,"Animation, Family, Comedy"
23-04-2013,Superman: Unbound,23.75,295.00,6.70,en,"Animation, Action, Adventure"
16-07-2011,Pokémon the Movie: White - Victini and Zekrom,23.75,132.00,6.60,ja,"Animation, Family, Adventure, Drama, Fantasy"
30-07-2000,Coyote Ugly,23.75,1679.00,6.30,en,"Comedy, Drama, Music, Romance"
17-07-2002,Eight Legged Freaks,23.74,918.00,5.70,en,"Action, Comedy, Horror, Thriller"
02-05-2003,The Lizzie McGuire Movie,23.74,1074.00,6.30,en,"Family, Comedy"
10-02-2006,The Pink Panther,23.73,1555.00,5.80,en,"Comedy, Family, Mystery, Crime, Adventure, Action"
01-02-2017,Sahara,23.73,234.00,5.90,fr,"Adventure, Animation, Comedy, Family"
02-08-2018,Leal,23.73,48.00,6.90,es,"Action, Crime, Drama"
16-12-2000,Battle Royale,23.73,2594.00,7.30,ja,"Drama, Thriller, Action"
10-05-1965,For a Few Dollars More,23.73,2985.00,8.00,it,Western
04-06-2021,Trippin’ with the Kandasamys,23.72,33.00,7.10,en,"Comedy, Romance"
01-10-2006,Paprika,23.71,1610.00,7.80,ja,"Animation, Drama, Mystery, Science Fiction, Thriller, Fantasy"
07-10-2014,Goodnight Mommy,23.71,1195.00,6.70,de,"Drama, Horror, Thriller, Mystery"
27-09-2007,"Lust, Caution",23.70,451.00,7.10,zh,"Action, Drama, Romance, Thriller"
21-06-1973,Sinner: The Secret Diary of a Nymphomaniac,23.69,11.00,4.50,fr,Drama
05-02-2010,Frozen,23.69,1453.00,5.90,en,Thriller
19-11-2020,Gabriel's Inferno Part III,23.69,946.00,8.60,en,"Romance, Comedy"
06-12-1964,Rudolph the Red-Nosed Reindeer,23.69,403.00,7.30,en,"Animation, Family, TV Movie"
28-03-1963,The Birds,23.68,3125.00,7.50,en,Horror
08-02-2001,From Hell,23.68,2256.00,6.70,en,"Horror, Mystery, Thriller"
31-08-1983,Women's Prison Massacre,23.67,33.00,4.30,en,"Action, Drama"
11-10-2018,Suspiria,23.67,1939.00,7.00,en,"Horror, Thriller"
23-11-1994,The Pagemaster,23.66,614.00,6.40,en,"Family, Fantasy, Science Fiction, Animation"
09-03-2022,Besties,23.66,0.00,0.00,fr,"Drama, Romance"
21-09-2018,Nappily Ever After,23.65,748.00,7.20,en,"Comedy, Romance"
18-05-2018,Black Water,23.65,193.00,5.70,en,"Action, Thriller"
29-10-1999,Being John Malkovich,23.64,3378.00,7.40,en,"Comedy, Drama, Fantasy"
16-02-2018,The Monkey King 3,23.64,32.00,5.40,zh,"Action, Adventure, Fantasy"
25-02-2011,Megamind: The Button of Doom,23.64,174.00,6.60,en,"Animation, Action, Comedy, Family"
16-12-2021,Pushpa: The Rise - Part 1,23.63,47.00,7.70,te,"Action, Drama, Thriller"
26-05-2011,Melancholia,23.63,2743.00,7.20,en,"Drama, Science Fiction"
09-03-2004,Winnie the Pooh: Springtime with Roo,23.62,116.00,6.70,en,"Family, Animation"
23-06-2021,Good on Paper,23.61,222.00,5.60,en,"Comedy, Romance"
22-12-1995,Dracula: Dead and Loving It,23.61,718.00,6.00,en,"Comedy, Horror, Fantasy"
19-11-2020,The Princess Switch: Switched Again,23.61,714.00,7.00,en,"Family, Romance, Comedy"
15-08-2008,Mirrors,23.59,1430.00,6.20,en,"Horror, Mystery, Thriller, Drama"
21-03-2003,Dreamcatcher,23.59,1414.00,5.50,en,"Drama, Horror, Science Fiction, Thriller"
26-08-1992,The Last of the Mohicans,23.58,2339.00,7.40,en,"Action, Adventure, Drama, History, Romance, War"
23-05-2015,New Initial D the Movie - Legend 2: Racer,23.58,34.00,8.10,ja,"Animation, Drama, Action"
17-04-2015,True Story,23.58,1630.00,6.30,en,"Crime, Drama, History"
18-07-2019,Secret Obsession,23.58,911.00,5.50,en,"Drama, Thriller"
05-12-2019,How to Train Your Dragon: Snoggletog Log,23.57,15.00,6.60,en,"Animation, Family"
17-08-2001,Pokémon: Mewtwo Returns,23.57,261.00,6.70,ja,"Animation, Family, Action, Adventure, Drama, Fantasy"
07-01-2022,See for Me,23.57,26.00,6.10,en,Thriller
04-07-2013,Gintama the Movie: The Final Chapter - Be Forever Yorozuya,23.57,77.00,8.10,ja,"Action, Comedy, Science Fiction, Animation"
12-06-1981,Clash of the Titans,23.57,552.00,6.90,en,"Action, Adventure, Family, Fantasy"
04-10-2018,The House That Jack Built,23.56,2007.00,7.20,en,"Drama, Horror, Crime, Thriller"
06-12-2002,Equilibrium,23.56,3585.00,7.00,en,"Action, Science Fiction, Thriller"
01-04-2014,Saul: The Journey to Damascus,23.56,5.00,5.60,es,Drama
16-10-2009,Triangle,23.56,1848.00,6.90,en,Horror
20-11-1998,Enemy of the State,23.56,3027.00,7.00,en,"Action, Drama, Thriller"
28-03-1985,Police Academy 2: Their First Assignment,23.56,1145.00,6.00,en,"Comedy, Crime"
06-11-2015,The Condemned 2,23.55,117.00,5.20,en,Action
10-03-1995,Outbreak,23.55,1751.00,6.50,en,"Action, Drama, Science Fiction, Thriller"
27-04-2000,Where the Heart Is,23.54,543.00,7.10,en,"Comedy, Drama, Romance"
18-12-1963,The Pink Panther,23.54,754.00,6.90,en,"Comedy, Crime"
27-02-2020,Guns Akimbo,23.53,1646.00,6.50,en,"Comedy, Action"
19-01-2017,The Post,23.53,3899.00,7.00,en,"Drama, History"
26-08-2016,Hands of Stone,23.53,288.00,6.30,en,Drama
28-06-2014,Ghost in the Shell Arise - Border 3: Ghost Tears,23.53,111.00,6.80,ja,"Action, Animation, Science Fiction"
12-03-2004,Secret Window,23.53,2934.00,6.60,en,"Mystery, Thriller"
03-10-2003,School of Rock,23.53,4555.00,7.10,en,"Comedy, Music, Family"
19-11-1980,Tender Cousins,23.52,29.00,5.40,fr,"Drama, Romance"
30-11-2018,Mirage,23.52,1425.00,7.50,es,"Science Fiction, Thriller, Drama, Romance, Mystery"
25-02-2019,Our Friend,23.52,193.00,7.20,en,"Drama, Romance"
02-06-2012,Blood-C: The Last Dark,23.52,79.00,7.10,ja,"Action, Horror, Science Fiction, Animation"
31-01-2018,Scooby-Doo! & Batman: The Brave and the Bold,23.51,161.00,7.60,en,"Animation, Comedy, Action, Family"
19-12-2012,Zero Dark Thirty,23.51,3697.00,7.00,en,"Thriller, Drama, History"
16-07-2020,Unhinged,23.51,1487.00,6.40,en,"Action, Thriller"
13-08-2004,Yu-Gi-Oh! The Movie,23.50,247.00,6.00,en,"Adventure, Fantasy, Animation, Action, Comedy, Thriller, Science Fiction, Family"
16-07-2005,Pokémon: Lucario and the Mystery of Mew,23.50,220.00,6.90,ja,"Family, Adventure, Animation, Fantasy, Action, Science Fiction"
05-08-2011,Phineas and Ferb: The Movie: Across the 2nd Dimension,23.49,412.00,6.90,en,"Animation, Comedy, Family, TV Movie, Music, Adventure, Science Fiction"
21-04-1995,While You Were Sleeping,23.49,1321.00,6.90,en,"Romance, Comedy"
19-06-2019,In Full Bloom,23.49,68.00,7.00,en,"Action, Drama"
14-10-2016,Gantz:O,23.49,521.00,7.30,ja,"Science Fiction, Action, Animation"
27-03-2011,Kill Bill: The Whole Bloody Affair,23.49,722.00,8.00,en,"Action, Crime, Thriller"
06-07-2016,Cell,23.48,875.00,4.60,en,"Horror, Science Fiction, Thriller"
01-08-2015,Corpse Party,23.47,32.00,5.00,ja,"Horror, Mystery, Science Fiction"
22-04-2016,Bastille Day,23.47,1060.00,6.30,en,Action
03-09-1992,Jamon Jamon,23.47,228.00,6.20,es,"Comedy, Drama, Romance"
14-04-2014,Behaving Badly,23.46,493.00,5.30,en,Comedy
09-03-2022,La campagne de France,23.45,0.00,0.00,fr,Documentary
12-03-2021,Paper Lives,23.45,277.00,8.20,tr,Drama
19-01-2018,7 Guardians of the Tomb,23.45,156.00,5.50,en,"Action, Adventure, Horror"
22-01-2014,"I, Frankenstein",23.44,1552.00,5.30,en,"Horror, Thriller"
13-09-2017,mother!,23.43,5573.00,7.00,en,"Drama, Horror, Mystery"
26-01-2022,Kingmaker,23.43,6.00,6.40,ko,Drama
19-11-2015,Nice Sister-In-Law,23.43,8.00,6.60,ko,"Romance, Drama"
01-10-2021,Swallow,23.42,4.00,5.50,en,"Drama, History, Thriller, Crime"
20-03-1998,Wild Things,23.42,1282.00,6.30,en,"Mystery, Thriller, Drama"
21-10-2016,Moonlight,23.42,5998.00,7.40,en,Drama
25-07-2020,Rick and Morty vs Genocider,23.41,2.00,3.50,en,Animation
30-08-1995,P.O. Box Tinto Brass,23.41,61.00,5.40,it,Comedy
11-02-1988,Dragons Forever,23.41,181.00,7.10,cn,"Action, Comedy, Romance"
16-02-1998,Belle's Magical World,23.41,383.00,6.20,en,"Animation, Family"
25-08-2000,Vampire Hunter D: Bloodlust,23.40,405.00,7.60,ja,"Animation, Fantasy, Horror, Action"
13-04-2002,Interstate 60,23.40,473.00,7.30,en,"Adventure, Comedy, Fantasy"
18-07-1997,Snow White: A Tale of Terror,23.40,190.00,5.90,en,"Fantasy, Horror"
01-02-2007,Scars 2,23.40,5.00,8.40,es,Drama
30-11-1989,National Lampoon's Christmas Vacation,23.40,1763.00,7.20,en,Comedy
04-02-2018,The Cloverfield Paradox,23.39,2630.00,5.60,en,"Horror, Science Fiction, Action, Thriller"
12-11-2010,127 Hours,23.39,6275.00,7.10,en,"Adventure, Drama, Thriller"
18-12-2007,Jackass 2.5,23.39,375.00,6.10,en,"Comedy, Documentary"
02-05-2019,Long Shot,23.39,2111.00,6.70,en,"Comedy, Romance"
13-08-1998,The Avengers,23.39,548.00,4.40,en,"Thriller, Science Fiction"
10-11-1993,Carlito's Way,23.38,2441.00,7.80,en,"Crime, Thriller, Romance, Drama"
22-06-2007,1408,23.37,3375.00,6.70,en,Horror
17-06-2019,Portrait of a Lady on Fire,23.37,1719.00,8.20,fr,"Drama, History, Romance"
27-08-2010,The Last Exorcism,23.37,800.00,5.60,en,"Horror, Thriller"
09-01-2009,The Butterfly Effect 3: Revelations,23.37,433.00,5.40,en,"Science Fiction, Thriller, Drama, Crime"
03-12-2021,Silent Night,23.36,160.00,6.50,en,"Horror, Comedy, Drama"
26-03-2018,Charming,23.36,203.00,6.60,en,"Animation, Adventure, Comedy, Family, Fantasy, Music"
02-04-2015,Wolf Warrior,23.35,148.00,6.20,zh,"Action, War"
21-06-2016,LEGO DC Comics Super Heroes: Justice League - Gotham City Breakout,23.35,100.00,6.90,en,"Animation, Family, Adventure, Action, Comedy"
28-05-2015,Circle,23.35,1544.00,6.00,en,"Science Fiction, Mystery, Drama, Thriller, Horror"
17-09-2021,Lady of the Manor,23.34,28.00,6.50,en,"Comedy, Fantasy"
24-09-2021,El Planeta,23.34,4.00,5.90,es,"Comedy, Drama"
12-08-1999,Bowfinger,23.33,653.00,6.10,en,Comedy
26-11-2016,KanColle Movie,23.32,13.00,4.80,ja,"Action, Animation, Science Fiction, TV Movie, War"
13-04-2018,Wildling,23.32,277.00,5.50,en,"Horror, Fantasy, Thriller, Drama"
28-07-2012,V/H/S,23.32,1126.00,6.10,en,"Thriller, Horror"
01-01-2003,Mystic River,23.31,5110.00,7.70,en,"Thriller, Crime, Drama, Mystery"
21-07-2009,Messengers 2: The Scarecrow,23.31,124.00,5.30,en,Horror
15-01-1993,Alive,23.31,1105.00,6.90,en,"Adventure, Drama, Thriller"
29-09-2016,L.O.R.D: Legend of Ravaging Dynasties,23.31,86.00,7.00,zh,"Animation, Fantasy, Drama, Science Fiction"
26-06-2015,Teen Beach 2,23.31,491.00,6.80,en,"TV Movie, Family, Comedy, Fantasy"
03-07-2015,Amy,23.31,1001.00,7.60,en,"Documentary, Music"
17-12-2016,Tomorrow I Will Date With Yesterday's You,23.30,115.00,7.60,ja,"Romance, Drama"
26-01-2017,The Space Between Us,23.29,2126.00,7.10,en,"Romance, Adventure, Science Fiction, Drama"
09-08-1996,Escape from L.A.,23.29,1086.00,5.90,en,"Action, Adventure, Science Fiction, Thriller"
13-07-2018,How It Ends,23.28,1563.00,5.30,en,"Science Fiction, Thriller, Mystery, Action, Adventure"
09-03-2022,My Night,23.27,0.00,0.00,fr,"Drama, Romance"
12-06-2018,"My Teacher, My Obsession",23.27,70.00,4.90,en,"Drama, Thriller, TV Movie"
24-10-2015,My Little Pony: Equestria Girls: Friendship Games,23.26,76.00,7.30,en,"Animation, Music, Family"
21-02-1992,All Ladies Do It,23.25,266.00,4.40,it,"Comedy, Drama"
11-06-1986,Ferris Bueller's Day Off,23.25,3829.00,7.70,en,Comedy
14-07-2017,Gintama,23.25,66.00,6.70,ja,"Action, Adventure, Comedy, Science Fiction"
11-05-2011,Midnight in Paris,23.24,6135.00,7.50,en,"Fantasy, Comedy, Romance"
18-01-1969,Graf Porno und seine Mädchen,23.24,10.00,6.60,de,Comedy
20-05-2019,After We Leave,23.24,22.00,5.40,en,"Science Fiction, Drama"
02-02-2022,Superwho?,23.23,61.00,6.00,fr,"Comedy, Action"
04-11-2016,A Street Cat Named Bob,23.23,1099.00,7.90,en,"Family, Drama"
20-01-2005,Are We There Yet?,23.23,745.00,5.60,en,"Family, Adventure, Comedy, Romance"
20-02-2019,The Wolf's Call,23.23,1480.00,7.60,fr,"Thriller, Action"
07-09-2018,Redcon-1,23.23,200.00,5.60,en,"Action, Horror, Science Fiction"
21-03-2019,Balkan Line,23.23,217.00,7.70,ru,"Drama, Action, War"
09-10-2014,Automata,23.22,1350.00,5.80,en,"Thriller, Science Fiction"
22-06-1977,The Rescuers,23.22,2025.00,6.70,en,"Fantasy, Family, Animation, Adventure"
03-07-1997,Bean,23.21,1937.00,6.40,en,"Comedy, Family, Adventure"
22-11-2018,The Christmas Chronicles,23.21,1643.00,7.10,en,"Comedy, Adventure, Family, Fantasy"
26-08-1953,Roman Holiday,23.21,1533.00,7.90,en,"Romance, Comedy, Drama"
27-04-1961,The Guns of Navarone,23.21,567.00,7.40,en,"War, Action"
17-01-1979,Nosferatu the Vampyre,23.21,584.00,7.40,de,"Drama, Horror"
07-01-2022,Siklo,23.20,2.00,4.00,tl,"Drama, Thriller"
29-09-1995,Halloween: The Curse of Michael Myers,23.20,766.00,5.20,en,"Horror, Thriller"
09-09-2009,Whiteout,23.19,566.00,5.50,en,"Action, Crime, Mystery, Thriller"
22-08-2019,Abigail,23.19,177.00,6.20,en,"Adventure, Fantasy, Mystery"
30-11-1991,Dragon Ball: The Magic Begins,23.19,71.00,4.00,zh,"Action, Adventure, Fantasy"
24-11-1999,End of Days,23.18,1402.00,6.00,en,"Action, Fantasy, Horror, Mystery"
17-08-2006,The Butterfly Effect 2,23.18,718.00,4.90,en,"Drama, Science Fiction, Thriller"
26-02-2021,Soy Luna: The Last Concert,23.18,47.00,8.10,es,"Music, Documentary"
21-05-2015,Survivor,23.17,833.00,5.60,en,"Crime, Action, Thriller"
01-10-2014,Dracula Untold,23.17,5163.00,6.40,en,"Horror, Action, Drama, Fantasy, War"
01-09-2017,The Layover,23.17,579.00,5.30,en,"Comedy, Romance"
13-02-2020,Emma.,23.17,1179.00,7.10,en,"Comedy, Romance"
15-10-1940,The Great Dictator,23.17,2531.00,8.40,en,"Comedy, War"
05-10-2018,You Are the Apple of My Eye,23.16,15.00,5.40,ja,Romance
09-11-2022,Black Panther: Wakanda Forever,23.16,0.00,0.00,en,"Action, Adventure, Science Fiction"
05-05-2011,Something Borrowed,23.16,871.00,6.30,en,"Comedy, Drama, Romance"
23-05-1986,Poltergeist II: The Other Side,23.16,483.00,6.00,en,"Horror, Thriller"
07-12-2013,Lupin the Third vs. Detective Conan: The Movie,23.16,117.00,6.80,ja,"Animation, Action, Thriller"
15-03-2007,Dororo,23.16,99.00,7.00,ja,"Action, Fantasy, Horror, Science Fiction"
19-09-2014,Tusk,23.15,1003.00,5.40,en,"Comedy, Horror"
14-02-2019,"Oh, Ramona!",23.14,333.00,5.70,en,"Comedy, Romance"
15-03-2018,Sherlock Gnomes,23.14,577.00,5.60,en,"Animation, Family, Fantasy, Comedy, Adventure, Mystery"
14-05-2014,Obsessed,23.14,40.00,6.80,ko,"Drama, Romance, Adventure"
24-05-2019,Avengement,23.13,332.00,6.80,en,"Crime, Action"
17-06-2011,Towa no Quon 1: The Ephemeral Petals,23.13,10.00,6.30,ja,"Action, Animation, Science Fiction, Fantasy"
11-11-2016,Shut In,23.13,592.00,5.40,en,"Drama, Thriller"
09-04-1952,Singin' in the Rain,23.12,2354.00,8.20,en,"Comedy, Music, Romance"
21-10-2016,Before the Flood,23.11,659.00,7.70,en,Documentary
05-05-2006,Survival Island,23.11,163.00,5.10,en,"Thriller, Mystery, Drama, Romance"
23-12-1992,Scent of a Woman,23.11,2458.00,7.70,en,Drama
23-04-2016,Ghostheads,23.11,29.00,5.90,en,Documentary
11-11-2011,Young Adult,23.11,996.00,5.70,en,"Comedy, Drama"
16-02-2018,Monster Hunt 2,23.10,87.00,6.80,en,"Adventure, Comedy, Fantasy"
24-01-2019,Serenity,23.10,1272.00,5.40,en,"Thriller, Mystery, Drama"
15-03-2006,The Lives of Others,23.09,2824.00,8.10,de,"Drama, Thriller"
22-09-2011,"Madrid, 1987",23.09,40.00,6.30,es,Drama
23-02-2021,Pelé,23.09,122.00,7.50,pt,Documentary
13-12-2019,Yummy,23.09,181.00,6.40,nl,"Horror, Comedy, Action"
26-07-1979,The Amityville Horror,23.08,642.00,6.30,en,Horror
16-11-2013,Wer,23.08,270.00,6.30,en,"Horror, Mystery, Thriller"
07-02-1997,Dante's Peak,23.08,1413.00,6.10,en,"Action, Adventure, Thriller, Drama"
02-04-1987,Police Academy 4: Citizens on Patrol,23.08,883.00,5.40,en,"Comedy, Crime"
16-03-1999,From Dusk Till Dawn 2: Texas Blood Money,23.08,332.00,4.60,en,"Crime, Action, Horror, Thriller"
22-12-1989,Tango & Cash,23.07,1448.00,6.40,en,"Action, Adventure, Comedy, Thriller"
24-10-2008,Vacancy 2: The First Cut,23.07,191.00,5.30,en,"Horror, Thriller, Mystery"
07-09-2019,Vivarium,23.06,1267.00,6.00,en,"Science Fiction, Horror, Mystery"
11-10-2011,Arena,23.06,219.00,5.30,en,"Action, Thriller, Science Fiction"
07-08-1992,Unforgiven,23.06,3322.00,7.90,en,Western
31-10-2019,Fidelity,23.06,167.00,7.00,ru,Drama
17-03-2006,She's the Man,23.06,2429.00,6.80,en,"Comedy, Drama, Family, Romance"
25-08-2000,Bring It On,23.05,1372.00,6.20,en,Comedy
11-04-2003,House of 1000 Corpses,23.05,1196.00,6.20,en,Horror
15-08-2008,Vicky Cristina Barcelona,23.05,3080.00,6.80,en,"Drama, Romance"
15-08-2003,The Medallion,23.04,851.00,5.60,en,"Thriller, Fantasy, Action, Comedy"
12-10-2014,The Boss: Anatomy of a Crime,23.03,68.00,7.90,es,"Drama, Crime"
30-04-2021,Daddy's Perfect Little Girl,23.03,2.00,6.00,en,"Drama, TV Movie"
12-03-1998,The Man in the Iron Mask,23.02,3155.00,6.60,en,"Adventure, Action, Drama"
01-06-2017,Kill Switch,23.02,188.00,4.80,en,"Science Fiction, Action, Thriller"
