Release_Date,Title,Popularity,Vote_Count,Vote_Average,Original_Language,Genre
28-05-2021,Riverdance: The Animated Adventure,250.83,28.00,5.20,en,"Animation, Fantasy, Music, Adventure, Comedy, Family"
12-11-2021,Apex,249.46,402.00,5.40,en,"Action, Thriller, Science Fiction"
02-02-2022,The Tinder Swindler,246.65,455.00,7.10,en,"Documentary, Crime"
11-02-2022,Love Tactics,244.57,83.00,6.70,tr,"Romance, Comedy"
01-10-2021,The Addams Family 2,244.18,785.00,7.20,en,"Animation, Adventure, Comedy, Family"
27-04-2021,Dynasty Warriors,242.34,84.00,6.50,cn,"Action, Adventure, Fantasy"
15-05-2021,Miraculous World: Shanghai – The Legend of Ladydragon,241.64,411.00,7.90,fr,"Animation, Comedy, Family, Adventure"
21-11-2020,"Miraculous World: New York, United HeroeZ",240.05,862.00,8.30,fr,"Animation, Family, Comedy, Adventure, TV Movie"
03-03-2022,Surviving Paradise: A Family Tale,240.00,7.00,6.90,en,Documentary
20-12-2019,My Hero Academia: Heroes Rising,239.60,890.00,8.40,ja,"Animation, Action, Fantasy, Adventure"
04-11-2021,Amina,237.26,92.00,6.50,en,"War, History, Drama"
03-12-2021,Encounter,235.48,256.00,6.40,en,"Adventure, Drama"
06-08-2021,Son,232.49,90.00,6.00,en,"Horror, Thriller"
16-12-2020,Wonder Woman 1984,231.76,6599.00,6.60,en,"Action, Adventure, Fantasy"
16-04-2014,The Amazing Spider-Man 2,231.44,10763.00,6.50,en,"Action, Adventure, Fantasy"
02-12-2021,The Whole Truth,231.33,109.00,6.50,th,Horror
07-02-2022,Catwoman: Hunted,231.06,26.00,6.20,en,"Animation, Action, Crime"
07-10-2016,Hacksaw Ridge,230.76,10667.00,8.20,en,"Drama, History, War"
06-05-2021,Crazy Fist,230.55,44.00,7.30,zh,Action
16-11-2001,Harry Potter and the Philosopher's Stone,230.00,22210.00,7.90,en,"Adventure, Fantasy"
25-04-2012,The Avengers,229.77,26490.00,7.70,en,"Science Fiction, Action, Adventure"
15-06-2021,Dragon Fury,229.22,34.00,6.10,en,"Horror, Fantasy, Mystery"
29-07-2021,Tarumama,228.90,19.00,5.10,es,"Horror, Drama"
25-10-2016,Doctor Strange,228.27,18471.00,7.40,en,"Action, Adventure, Fantasy, Science Fiction"
14-10-2021,Halloween Kills,227.83,1585.00,6.80,en,"Horror, Thriller"
10-02-2022,The Exorcism of God,226.77,7.00,5.60,en,Horror
28-06-2019,Spider-Man: Far From Home,224.03,12176.00,7.50,en,"Action, Adventure, Science Fiction"
01-01-2022,Harry Potter 20th Anniversary: Return to Hogwarts,222.91,1105.00,8.00,en,Documentary
02-09-2020,After We Collided,221.99,4481.00,7.30,en,"Romance, Drama"
17-02-2022,The Desperate Hour,221.84,21.00,5.80,en,Thriller
18-04-2015,Dragon Ball Z: Resurrection 'F',220.05,1361.00,6.80,ja,"Action, Animation, Science Fiction"
28-10-2021,Seal Team,220.02,126.00,7.10,en,"Animation, Family, Comedy"
19-03-2009,Knowing,218.41,4251.00,6.10,en,"Action, Mystery, Science Fiction, Thriller"
01-10-2021,Witch Hunt,217.27,145.00,7.20,en,"Fantasy, Horror, Thriller, Drama"
10-09-2014,The Maze Runner,215.47,14398.00,7.20,en,"Action, Mystery, Science Fiction, Thriller"
31-03-2021,The Unholy,215.00,1543.00,6.80,en,Horror
19-12-2019,Ashfall,212.13,357.00,6.60,ko,"Action, Adventure, Thriller"
11-02-2022,The Sky Is Everywhere,211.62,16.00,5.80,en,"Drama, Romance, Music"
09-09-2021,Time Is Up,211.61,250.00,6.20,en,"Romance, Drama"
30-06-2021,The Deep House,211.56,527.00,6.50,en,Horror
